rc_id,status,task_ids,tags,evidence_type,evidence_required,evidence_links,blocked,blocker,source_spec,source_number,source_text_sha256,notes
RC-0001,NOT_STARTED,TASK-RC-0001,CALC,GOLDEN_OR_CONTRACT_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,1,85639199d60641b671a61669f44fce183f6497b1c1809426c6fab9a42f557177,Initialized from binding specification; not individually proven DONE.
RC-0002,DONE,TASK-RC-0002,I18N,I18N_TEST,YES,lib/src/app/ruh_code_app.dart|pubspec.yaml|tools/requirements/validate_rc0002_language_scope.py|test/requirements/rc0002_language_scope_runtime_test.dart|.github/workflows/rc0002-language-scope.yml,NO,,RUH_CODE_MASTER_SARTNAME.md,2,0c44cb0a147d49a9f5560e4bd0850839ad23baffbf0a7faab2f26d4575b4720b,Verified production contract: runtime supportedLocales is exactly tr/en; all Flutter localization delegates remain wired; packaged language-scoped daily-message assets are exactly tr/en; static and compiled Dart tests are required by the dedicated CI gate. RC-0003 separately owns editorial independence/completeness.
RC-0003,NOT_STARTED,TASK-RC-0003,CONTENT|I18N,CONTENT_REVIEW|I18N_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,3,261339b9c0ca48749a9c9c53daba8df8851f6648c052a86b4da2a4a1a904b250,Initialized from binding specification; not individually proven DONE.
RC-0004,TESTED,TASK-RC-0004,CALC|I18N|ENTITLEMENT,GOLDEN_OR_CONTRACT_TEST|I18N_TEST|ENTITLEMENT_TEST,YES,requirements/contracts/rc0004_terminology_contract.json|tools/requirements/validate_rc0004_content_quality.py|assets/content/daily_messages/tr/|assets/content/daily_messages/en/|.github/workflows/rc0004-content-quality.yml,YES,Independent bilingual editorial review is required to prove natural/professional terminology before VERIFIED/DONE.,RUH_CODE_MASTER_SARTNAME.md,4,633945b9ddea55951ee63c0aa6f9be434730a5b55ef47d63bef52708c7556894,"Machine gate proves a canonical TR/EN terminology contract across astrology, numerology and spirituality, plus UTF-8/NFC/placeholder/mojibake/template-key copy hygiene. TESTED only: subjective naturalness and professional editorial quality require independent bilingual human review."
RC-0005,NOT_STARTED,TASK-RC-0005,TRACE,CONTRACT_TEST_OR_REVIEW,YES,requirements/contracts/rc0005_akiles_reference_blocker.json,YES,"Exact AKİLES latest-version source/artifact, immutable version/commit, integrity hash, capture date and reference scope are missing.",RUH_CODE_MASTER_SARTNAME.md,5,047f1f44a1c2f58c3a6abc0ab0b928080356dcee601408c444208cdb83c92b67,Fail-closed blocker recorded after RUHCODE code search and accessible installed GitHub repository search found no exact AKİLES reference provenance. This does not promote implementation lifecycle state.
RC-0006,TESTED,TASK-RC-0006,CALC,GOLDEN_OR_CONTRACT_TEST,YES,requirements/contracts/rc0006_modular_core_contract.json|tools/requirements/validate_rc0006_modular_core.py|lib/src/calculation_core/calculation_engine.dart|lib/src/calculation_core/|lib/src/interpretation/interpretation_engine.dart|.github/workflows/rc0006-modular-core.yml,YES,RC-0005 exact AKİLES source/version/hash plus method-level provenance/comparison evidence are required before VERIFIED/DONE.,RUH_CODE_MASTER_SARTNAME.md,6,09148f435fbb796130333fbf7459477ce74bb050e3983dd6a0484060d6f6f9cc,"Machine gate proves the new modular Ruh Code calculation_core boundary, subsystem separation, CalculationEngine abstraction and interpretation separation. It intentionally does not claim AKİLES non-copy/method-transfer provenance without RC-0005 evidence."
RC-0007,NOT_STARTED,TASK-RC-0007,CALC|I18N,GOLDEN_OR_CONTRACT_TEST|I18N_TEST,YES,,NO,,RUH_CODE_MASTER_SARTNAME.md,7,6fa17d21f1a13e3f512714694fa5906beda54c7a3ed4e2931adb83d5141ecbfc,Initialized from binding specification; not individually proven DONE.
RC-0008,TESTED,TASK-RC-0008,CALC|I18N|RELEASE,GOLDEN_OR_CONTRACT_TEST|I18N_TEST|RELEASE_ARTIFACT_EVIDENCE,YES,requirements/contracts/rc0008_rc0010_time_determinism_contract.json|tools/requirements/validate_rc0008_rc0010_time_determinism.py|lib/src/calculation_core/time/time_zone_runtime.dart|lib/src/calculation_core/time/daily_date_context.dart|test/calculation_core/time_zone_runtime_test.dart|test/calculation_core/daily_date_context_test.dart|.github/workflows/rc0008-rc0010-time-determinism.yml,YES,End-to-end proof that astronomical calculations consume validated location coordinates together with explicit date/timezone remains required before VERIFIED/DONE.,RUH_CODE_MASTER_SARTNAME.md,8,d3d106a2e9773be6e4bcb24fb31a94e113bf363fa14e2d6864eb5130b1a16622,"Machine gate proves calculation-core time/date resolution uses explicit UTC/wall-clock + IANA zone inputs rather than DateTime.now(), with deterministic cache partitioning. End-to-end coordinate/location propagation remains a later integration/release proof."
RC-0009,TESTED,TASK-RC-0009,CALC,GOLDEN_OR_CONTRACT_TEST,YES,requirements/contracts/rc0008_rc0010_time_determinism_contract.json|tools/requirements/validate_rc0008_rc0010_time_determinism.py|lib/src/calculation_core/time/time_zone_runtime.dart|lib/src/calculation_core/time/daily_date_context.dart|test/calculation_core/time_zone_runtime_test.dart|test/calculation_core/daily_date_context_test.dart|.github/workflows/rc0008-rc0010-time-determinism.yml,NO,,RUH_CODE_MASTER_SARTNAME.md,9,7550b870a5f24c249830dd4569945c591a35edb8fec266bcacad33d3d9a3b039,Machine gate proves production time runtime initializes bundled IANA tzdb and resolves explicit IANA zone IDs; historical regression tests execute against the packaged timezone database.
RC-0010,TESTED,TASK-RC-0010,TRACE,CONTRACT_TEST_OR_REVIEW,YES,requirements/contracts/rc0008_rc0010_time_determinism_contract.json|tools/requirements/validate_rc0008_rc0010_time_determinism.py|lib/src/calculation_core/time/time_zone_runtime.dart|lib/src/calculation_core/time/daily_date_context.dart|test/calculation_core/time_zone_runtime_test.dart|test/calculation_core/daily_date_context_test.dart|.github/workflows/rc0008-rc0010-time-determinism.yml,NO,,RUH_CODE_MASTER_SARTNAME.md,10,95d5f80f20af7cd339d3cc0618750c34042609a373716bf470b4f3ea6a5b045c,Machine gate proves DST fold/gap policies are explicit and regression-tests historical discontinuities including Pacific/Apia skipped civil day.
RC-0011,TESTED,TASK-RC-0011,CALC|I18N,GOLDEN_OR_CONTRACT_TEST|I18N_TEST,YES,requirements/contracts/rc0011_rc0012_location_identity_contract.json|tools/requirements/validate_rc0011_rc0012_location_identity.py|lib/src/data/location/city_catalog.dart|test/data/city_catalog_test.dart|tools/location/validate_city_catalog_contract.py|requirements/data_manifests/cities.json|.github/workflows/rc0011-rc0012-location-identity.yml,YES,"End-to-end birth-place selection UI/runtime must prove the selected stable city identity, coordinates and IANA timezone are propagated together without ambiguity before VERIFIED/DONE.",RUH_CODE_MASTER_SARTNAME.md,11,cbe633e927614b2bfa483257040f294cfc1bec8a82251c9174d2336784a0a7ab,Machine gate proves city records independently require and validate coordinates and IANA timezone identifiers; packaged city release contract requires valid IANA ids. End-to-end birth-place selection binding remains required.
