"date","locale","title","teaser","full_text","theme_tag"
"2028-11-01","tr","Kasımın İlk Gününde Alan Aç","Yeni bir aya başlamak yalnız yeni hedef eklemek değil, yer açmak da olabilir.","Bugün kasım boyunca taşımak istemediğin bir yükü belirle. Bir görev, alışkanlık ya da beklentiyi azaltarak ayın geri kalanına daha temiz bir başlangıç bırak.","monthly_reset"
"2028-11-02","tr","Bir Kararı Sessizlikte Yeniden Düşün","Gürültü azaldığında kararın gerçek ağırlığı daha görünür olabilir.","Bugün önemli bir kararı birkaç dakika kimseye anlatmadan düşün. Başkalarının tepkisini değil, kararın kendi gerekçesini ölçmeye çalış.","decision_making"
"2028-11-03","tr","Ertelediğin Küçük Bakımı Tamamla","Küçük bakım işleri büyümeden tamamlandığında zihinsel yük de azalır.","Bugün uzun süredir ertelediğin küçük bir bakım işini bitir. Bir dosyayı düzenlemek, bir eşyayı onarmak ya da randevu almak yeterli olabilir.","maintenance"
"2028-11-04","tr","Bir Konuşmada Savunmaya Geçmeden Dinle","Kendini açıklamaya hazırlanmak, karşındakini duymayı zorlaştırabilir.","Bugün bir konuşmada cevap hazırlamadan önce karşı tarafın cümlesini tamamen bitirmesine izin ver. Sonra neyi doğru anladığını kısaca tekrar et.","communication"
"2028-11-05","tr","Enerjini En Çok Tüketen Ayrıntıyı Bul","Bazen yorgunluğun kaynağı büyük işler değil, sürekli tekrarlanan küçük sürtünmelerdir.","Bugün gün içinde tekrar tekrar canını sıkan bir ayrıntıyı fark et. Onu kaldırmak, otomatikleştirmek ya da sınır koymak için tek bir düzenleme yap.","energy_management"
"2028-11-06","tr","Bir İşin Kalite Ölçütünü Baştan Belirle","Ne zaman yeterli olduğunu bilmemek işi gereksiz yere uzatabilir.","Bugün başlayacağın bir iş için tamam sayılacağı ölçütü önceden yaz. Mükemmellik yerine amaca uygun bir bitiş noktası seç.","productivity"
"2028-11-07","tr","Bir Harcamanın Gerçek Karşılığını Hesapla","Fiyat yalnız etikette yazan rakam değildir; zaman ve kullanım da maliyetin parçasıdır.","Bugün düşündüğün bir harcama için ne kadar kullanacağını ve sana ne kazandıracağını hesaba kat. Kararı yalnız anlık isteğe göre verme.","financial_awareness"
"2028-11-08","tr","Bir Sınırı Kibarca Netleştir","Belirsiz sınırlar hem seni hem karşı tarafı gereksiz tahmine zorlar.","Bugün seni zorlayan bir konuda kısa ve açık bir sınır cümlesi kur. Uzun savunmalar yerine neye evet, neye hayır dediğini netleştir.","boundaries"
"2028-11-09","tr","Bir Planın İlk Beş Dakikasını Kolaylaştır","Başlamak zor olduğunda hedef değil, başlangıç eşiği fazla yüksek olabilir.","Bugün ertelediğin bir işin yalnız ilk beş dakikasını hazırlamayı hedefle. Malzemeyi çıkar, dosyayı aç veya ilk adımı görünür hale getir.","activation"
"2028-11-10","tr","Kendine Ait Bir Fikri Yeniden Kontrol Et","Uzun süredir taşıdığın bir düşünce hâlâ doğru olmak zorunda değildir.","Bugün kendin hakkında sık tekrarladığın bir cümleyi seç. Bunun güncel kanıtlarını ve tersini gösteren örnekleri ayrı ayrı düşün.","self_reflection"
