date,title,teaser,message,theme
2032-09-01,Eylüle Tek Bir Öncelikle Gir,Ayın başında seçenekleri azaltmak dikkati güçlendirebilir.,Eylül için gerçekten sonuç üretmesi gereken tek ana hedefi yaz ve diğer işleri onun çevresinde sırala.,planning
2032-09-02,Bir Beklentiyi Yazılı Hale Getir,Sözlü varsayımlar farklı kişilerde farklı anlamlara gelebilir.,Bugün ortak yürüttüğün bir işte teslim biçimi veya süre beklentisini kısa bir yazılı notla netleştir.,communication
2032-09-03,Bir Verinin Kaynağını Kaydet,Kaynak unutulduğunda doğru bilgi bile yeniden doğrulanmak zorunda kalabilir.,Sık kullandığın bir sayı veya bilgi için kaynak bağlantısını ve kontrol tarihini aynı yerde sakla.,accuracy
2032-09-04,Günün İlk Harcamasını Bilinçli Seç,İlk küçük karar günün geri kalanındaki harcama tonunu etkileyebilir.,Bugünkü ilk isteğe bağlı harcamadan önce gerçekten gerekli olup olmadığını on saniye düşün.,finance
2032-09-05,Bir Süreci İki Adım Kısalt,Gereksiz sürtünme tekrar eden işleri olduğundan ağır hale getirir.,Sık yaptığın bir süreçte sonucu bozmadan kaldırabileceğin iki küçük adımı belirle.,productivity
2032-09-06,Bir Parolanın Tekrarını Kontrol Et,Aynı parola birden fazla yerde kullanıldığında tek sızıntı daha geniş risk yaratabilir.,Önemli hesaplarından birinde benzersiz parola kullandığını doğrula ve gerekiyorsa değiştir.,security
2032-09-07,Dinlenme Saatini Takvime Koy,Boşluk kendiliğinden oluşmadığında dinlenme sürekli ertelenebilir.,Bu hafta için en az bir gerçek dinlenme aralığını toplantı kadar net biçimde takvimine yerleştir.,balance
2032-09-08,Bir Toplantının Amacını Tek Cümlede Yaz,Amacı belirsiz görüşmeler kolayca konu listesine dönüşebilir.,Yaklaşan bir görüşme için toplantı sonunda hangi kararın veya çıktının oluşması gerektiğini tek cümlede yaz.,communication
2032-09-09,Bir Yedeğin Geri Açılabilirliğini Düşün,Yedek yalnız var olmasıyla değil gerektiğinde kullanılabilmesiyle değerlidir.,Önemli bir dosyanın yedeğini nerede tuttuğunu ve onu hangi araçla açabileceğini bugün doğrula.,risk
2032-09-10,Karar Günlüğüne Bir Satır Ekle,Sonucu değil karar anındaki gerekçeyi kaydetmek öğrenmeyi kolaylaştırır.,Bugün verdiğin önemli bir kararın nedenini ve beklediğin sonucu iki kısa cümleyle kaydet.,decision
2032-09-11,Bir Dosya Adını Aranabilir Yap,İyi adlandırılmış dosyalar gelecekteki arama süresini azaltır.,Bugün oluşturduğun önemli bir dosyanın adına tarih konu veya sürüm bilgisinden uygun olanı ekle.,organization
2032-09-12,Bir İtirazı Cevaplamadan Önce Özetle,Doğru anlaşıldığını göstermek savunmaya geçmekten daha yapıcı olabilir.,Bir fikir ayrılığında cevap vermeden önce karşı tarafın ana kaygısını kendi cümlenle özetle.,relationships
2032-09-13,Odak İçin Görsel Gürültüyü Azalt,Ekrandaki gereksiz seçenekler dikkat bölünmesini kolaylaştırabilir.,Çalışma ekranından bugün kullanmayacağın en az üç sekme pencere veya kısayolu kaldır.,focus
2032-09-14,Bir Alışkanlığı Küçült,Sürdürülebilir davranış bazen hedefi küçülterek korunur.,Aksattığın bir alışkanlığın bugün yapılabilecek en küçük geçerli sürümünü belirle ve uygula.,habits
2032-09-15,Ay Ortası Nakit Akışını Kontrol Et,Bakiye tek başına yaklaşan yükümlülükleri göstermeyebilir.,Ayın kalanındaki kesin ödemeleri ve beklenen girişleri yan yana yazıp kısa bir nakit akışı kontrolü yap.,finance
2032-09-16,Bir Sorunun Belirtisini Nedeninden Ayır,Görünen sorunla kök neden aynı olmayabilir.,Tekrarlayan bir problem için gördüğün belirtiyi ve olası nedeni ayrı satırlara yaz.,quality
2032-09-17,Bir Bilgiyi Başkasına Öğreterek Sına,Anlatmak bilgi boşluklarını hızla görünür hale getirebilir.,Yeni öğrendiğin bir konuyu iki dakika içinde sade biçimde açıklamayı dene ve takıldığın noktayı not et.,learning
2032-09-18,Bir Aboneliğin Son Kullanımını Hatırla,Kullanılmayan düzenli ödeme küçük görünse de yıllık maliyet yaratır.,Bir aboneliğin son ne zaman gerçekten kullanıldığını kontrol et ve devam kararını buna göre yeniden değerlendir.,finance
2032-09-19,Bir Yetkiyi Geri Çek,Gereksiz erişimler zamanla güvenlik ve gizlilik yükü oluşturabilir.,Artık kullanmadığın bir uygulamanın dosya konum kamera veya hesap erişimlerinden gereksiz olanı kapat.,security
2032-09-20,İş Yükünü Kapasiteyle Karşılaştır,İstek listesi ile gerçek zaman aynı şey değildir.,Önündeki yedi gün için tahmini iş saatlerini mevcut boş zamanınla karşılaştır ve taşanı ertele veya devret.,planning
2032-09-21,Bir Teslimi Kontrol Noktalarına Böl,Uzun işlerde yalnız son tarih görmek riski geç fark ettirebilir.,Bir büyük teslim için en az iki ara kontrol tarihi belirle.,project
2032-09-22,Bir Notu Gelecekteki Kendin İçin Yaz,Bugün açık olan bağlam birkaç hafta sonra kaybolabilir.,Devam eden bir iş için bıraktığın nota sonraki adımı nedeni ve gerekli bağlantıyı ekle.,organization
2032-09-23,Bir Kalite Kriterini Ölçülebilir Yap,İyi veya yeterli gibi kelimeler farklı kişilerce farklı yorumlanabilir.,Bir teslim için kabul kriterlerinden birini sayı örnek veya açık koşulla ölçülebilir hale getir.,quality
2032-09-24,Veri Girişinde Bir Çift Kontrol Noktası Seç,Küçük giriş hataları daha sonra büyük farklara dönüşebilir.,Bugün gireceğin önemli bir veri için kaydetmeden önce kontrol edeceğin tek kritik alanı belirle.,accuracy
2032-09-25,Bir İşi Devretmeden Önce Sonucu Tarif Et,Devir teslim yalnız görevi değil beklenen sonucu da içermelidir.,Başkasına vereceğin bir işte beklenen çıktı biçimini ve bitmiş sayılma koşulunu açıkça yaz.,collaboration
2032-09-26,Satın Alma Kararına Bekleme Süresi Koy,Acele hissi her zaman gerçek aciliyet anlamına gelmez.,İsteğe bağlı bir satın alma için bugün en az yirmi dört saatlik bekleme kuralı uygula.,finance
2032-09-27,Bir Hata İçin Tekrar Önleme Adımı Yaz,Düzeltme sorunu kapatır fakat önleme sistemi güçlendirir.,Yakın zamanda düzelttiğin bir hata için tekrarını azaltacak tek süreç değişikliğini yaz.,quality
2032-09-28,Bir Görüşmede Sessiz Katılımcıyı Dahil Et,Bazı değerli bilgiler söz hakkı verilmediği için ortaya çıkmayabilir.,Grup konuşmasında daha az konuşan bir kişiye görüşünü paylaşması için açık alan bırak.,collaboration
2032-09-29,Gün Sonunda Açık Döngüleri Say,Zihinsel yükün bir kısmı tamamlanmamış küçük işlerden gelebilir.,Bugün bitmeden açık kalan işleri tek yerde listele ve yalnız yarın için gerekli olanları seç.,self-awareness
2032-09-30,Eylülü Bir Dersle Kapat,Ayın özeti yalnız sonuçlardan değil süreçten de çıkarılabilir.,Eylülde tekrar etmemek istediğin bir hata ile sürdürmek istediğin bir davranışı yan yana yaz.,reflection
