date,locale,title,teaser,full_text,theme_tag
2034-12-01,en,Start the Year-End Shard With the Canonical Header,New batches must not drift back to the legacy schema.,Verify the December shard starts with the exact canonical header and every row carries an explicit locale value.,content
2034-12-02,en,Exercise the PDF Parser With a Blank Page,A blank or decorative-only page should not break document parsing.,Insert a controlled blank page into a multi-page report and verify the parser opens the file and preserves all remaining text.,pdf
2034-12-03,en,Refresh Cache Identity When Entitlement Changes,Free and PRO outputs must not share an ambiguous cache key.,Change entitlement and verify protected calculation cache entries are regenerated under the new authorization context.,entitlement
2034-12-04,en,Keep Personal Data Out of Backup File Names,A filename alone can leak unnecessary user information.,Create a backup and verify profile names birth dates and client labels are not embedded in the archive name.,privacy
2034-12-05,en,Reject February Twenty-Nine in a Non-Leap Year,The date parser must not silently normalize an impossible calendar day.,Submit 2035-02-29 and verify it fails with an explicit validation error.,calendar
2034-12-06,en,Stop Invalid Coordinates Before Calculation,Out-of-range latitude or longitude should never reach the astronomy provider.,Submit invalid coordinates and verify validation rejects them before any provider call occurs.,location
2034-12-07,en,Move Assistive Focus to the First Invalid Field,A visible error is insufficient when semantic focus stays elsewhere.,Submit an invalid form and verify the first failing field receives focus with an accessible error description.,accessibility
2034-12-08,en,Verify Backup Manifest Integrity Before Restore,An altered manifest invalidates the package even when data files appear intact.,Change one byte in the manifest and verify integrity validation rejects the archive before restore begins.,security
2034-12-09,en,Persist Planetary-Hour Provider Provenance,The same date should remain explainable when astronomy providers evolve.,Verify a daily snapshot stores the astronomy provider identity and version used for planetary-hour calculation.,planetary-hours
2034-12-10,en,Keep Numeric Meaning Identical Across TR and EN,Decimal formatting belongs to presentation rather than calculation.,Render one result in both locales and verify the underlying numeric value remains exactly the same.,localization
2034-12-11,en,Run the Release Build Without Optional Analytics,Core app behavior must not depend on a nonessential telemetry endpoint.,Make telemetry unreachable and verify required offline functionality continues normally.,offline
2034-12-12,en,Keep the PDF Creation Timestamp Immutable,A saved report should not acquire a new creation time each time it is opened.,Save a report reopen it and verify its created-at metadata remains unchanged.,pdf
2034-12-13,en,Preserve Timezone Identity in the BaZi Hour Input,The same wall-clock time can represent different moments in different zones.,Use an hour-pillar fixture and verify the IANA timezone identity is part of the calculation input.,bazi
2034-12-14,en,Do Not Reopen Undo After Its Window Expires,A stale callback must not restore data after the undo period has ended.,Let a delete undo window expire then invoke a delayed callback and verify the record stays deleted.,lifecycle
2034-12-15,en,Fail Hard When a Manifest Asset Is Missing,A missing required asset is not a valid release with a silent placeholder.,Remove one expected file and verify the release asset gate stops with an explicit failure.,assets
2034-12-16,en,Neutralize Spreadsheet Formula Injection in CSV,User text beginning with a formula prefix can be interpreted as executable spreadsheet content.,Export a dangerous-prefix field and verify the canonical escaping policy is applied.,security
2034-12-17,en,Read Master Number Policy From One Source,Rules for 11 22 and 33 must not diverge across surfaces.,Run the same fixture through calculation and PDF projection layers and compare the reduction-policy result.,numerology
2034-12-18,en,Remove Deleted Profiles From Search Indexes,Deleted primary data should not survive in local discovery surfaces.,Delete one profile and verify it disappears from local search indexes and recent-item lists.,data
2034-12-19,en,Test Exact House-Cusp Assignment,Planets on a cusp need a stable documented house-assignment policy.,Verify fixtures immediately before exactly on and immediately after a cusp against the contracted house rule.,astrology
2034-12-20,en,Announce PRO Lock Context to Screen Readers,A lock icon alone does not communicate accessible meaning.,Verify a PRO-only card exposes lock state and upgrade context in its accessible label.,accessibility
2034-12-21,en,Recover an Interrupted Restore Transaction Safely,An app termination during restore must not leave permanent partial data.,Terminate the process mid-restore and verify restart follows the documented transaction recovery policy.,backup
2034-12-22,en,Golden-Test Solar Events Near the Winter Solstice,Seasonal extremes can magnify solar-event calculation errors.,Use an independently prepared winter-solstice fixture and verify sunrise and sunset remain within tolerance.,astronomy
2034-12-23,en,Reject Deep-Link Parameters Outside the Schema,Unexpected route parameters must not be accepted as harmless defaults.,Invoke a deep link with an undefined field and verify the parser rejects the extra parameter.,security
2034-12-24,en,Catch Layout Overflow With Long Client Names,Real Unicode names can exceed the short strings used in ordinary fixtures.,Render a long Unicode name in profile header and PDF cover layouts and verify neither overflows.,ui
2034-12-25,en,Complete Backup and Restore Fully Offline,Local backup should not require internet access.,In airplane mode create a backup restore it and verify all expected tables return with matching hashes.,backup
2034-12-26,en,Keep PDF Page Growth Consistent With Added Content,Adding sections should not unexpectedly produce fewer pages.,Add controlled content to the same report and verify pagination remains internally consistent.,pdf
2034-12-27,en,Retain Timezone-Database Provenance for Old Snapshots,A tzdb update must not silently rewrite the meaning of historical results.,Verify persisted snapshots store the timezone database version used as provenance.,timezone
2034-12-28,en,Compare December Date Sets Across TR and EN,Equal totals do not guarantee exact per-day locale parity.,Compare both December 2034 shard date-key sets and verify the difference set is empty.,localization
2034-12-29,en,Run Near-Duplicate Review on the December Batch,Different titles can still hide substantially repeated body text.,Scan new December title teaser and full_text fields against the near-duplicate threshold and inspect any candidates.,content
2034-12-30,en,Recompute the Year-End Ledger From Physical Shards,Committed files should remain the source of truth rather than a handwritten counter.,Scan shards from 2026-01-01 and derive the contiguous end date and per-locale totals again.,evidence
2034-12-31,en,Close 2034 With an Exact 2035 Continuation Boundary,Year rollover must not introduce ambiguity into editorial progress.,Verify both December shards and record 2035-01-01 as the next exact editorial start date.,reflection
