action_id,source_screen_id,action_type,label_or_purpose,target_screen_id_or_effect,entitlement,offline_behavior,a11y_label_required,status
ACTION-PDF-BUILDER-PREVIEW,SCR-PDF-BUILDER-001,PREVIEW,Önizle,EFFECT:PREVIEW_PDF_PLAN,PRO,AVAILABLE,true,ACTIVE
ACTION-PDF-BUILDER-CREATE,SCR-PDF-BUILDER-001,PDF,PDF Oluştur,EFFECT:GENERATE_PDF,PRO,AVAILABLE,true,ACTIVE
ACTION-PDF-BUILDER-SHARE,SCR-PDF-BUILDER-001,SHARE,Paylaş,EFFECT:SHARE_PDF,PRO,AVAILABLE,true,ACTIVE
ACTION-PDF-COMBINED,SCR-SETTINGS-001,NAVIGATION,Kombine PDF Raporu,SCR-PDF-COMBINED-001,PRO,AVAILABLE,true,ACTIVE
ACTION-PDF-COMBINED-PREVIEW,SCR-PDF-COMBINED-001,PREVIEW,Önizle,EFFECT:PREVIEW_COMBINED_PDF,PRO,AVAILABLE,true,ACTIVE
ACTION-PDF-COMBINED-CREATE,SCR-PDF-COMBINED-001,PDF,PDF Oluştur,EFFECT:GENERATE_COMBINED_PDF,PRO,AVAILABLE,true,ACTIVE
ACTION-PDF-COMBINED-SAVE,SCR-PDF-COMBINED-001,PDF,Kaydet,EFFECT:SAVE_COMBINED_PDF,PRO,AVAILABLE,true,ACTIVE
ACTION-PDF-COMBINED-SHARE,SCR-PDF-COMBINED-001,SHARE,Paylaş,EFFECT:SHARE_COMBINED_PDF,PRO,AVAILABLE,true,ACTIVE
ACTION-BACKUP-SHARE,SCR-BACKUP-001,SHARE,Yedeği Paylaş,EFFECT:SHARE_FULL_BACKUP,FREE,AVAILABLE,true,ACTIVE
ACTION-BACKUP-RESTORE-MERGE,SCR-BACKUP-001,BACKUP,Birleştir,EFFECT:RESTORE_BACKUP_MERGE,FREE,AVAILABLE,true,ACTIVE
ACTION-BACKUP-RESTORE-REPLACE,SCR-BACKUP-001,BACKUP,Değiştir,EFFECT:RESTORE_BACKUP_REPLACE,FREE,AVAILABLE,true,ACTIVE
