asset_id,category,path,sha256,approval_status,license,provenance,notes
ASSET-LOGO-PRIMARY,LOGO,,,PENDING,TBD,USER_APPROVAL_REQUIRED,Ruh Code ana logo
ASSET-ZODIAC-SET,ZODIAC_GLYPHS,,,PENDING,TBD,DESIGN_APPROVAL_REQUIRED,12 zodiac glyph seti
ASSET-PLANET-SET,PLANET_GLYPHS,,,PENDING,TBD,DESIGN_APPROVAL_REQUIRED,Güneş Ay ve gezegen glyph seti
ASSET-MANDALA-PRIMARY,DECORATIVE_GEOMETRY,,,PENDING,TBD,DESIGN_APPROVAL_REQUIRED,Statik mandala dekorasyonu
ASSET-LOTUS-PRIMARY,DECORATIVE_GEOMETRY,,,PENDING,TBD,DESIGN_APPROVAL_REQUIRED,Statik lotus dekorasyonu
ASSET-APP-ICONS,ICON_SET,,,PENDING,TBD,DESIGN_APPROVAL_REQUIRED,Uygulama genel ikon seti
ASSET-TAROT-BASE,TAROT_ART,,,PENDING,TBD,DESIGN_APPROVAL_REQUIRED,Tarot görsel seti lisans doğrulaması zorunlu
ASSET-FONT-SANS-PRIMARY,FONT_SANS,,,PENDING,TBD,FONT_LICENSE_REVIEW_REQUIRED,Ana UI sans-serif font ailesi; Türkçe ve İngilizce Unicode kapsamı zorunlu
ASSET-FONT-SERIF-REPORT,FONT_SERIF,,,PENDING,TBD,FONT_LICENSE_REVIEW_REQUIRED,PDF kapak ve seçili başlık kullanımı için serif font; yeniden dağıtım lisansı zorunlu
ASSET-FONT-SYMBOL-FALLBACK,FONT_SYMBOL,,,PENDING,TBD,FONT_LICENSE_REVIEW_REQUIRED,Zodiac ve planetary Unicode fallback yalnız gerektiğinde; glyph kapsamı ve lisans doğrulanmalı
