action_id,constant_name,binding_file,binding_kind,feature_id,status
ACTION-NAV-TODAY,navigationToday,lib/src/ui/navigation/main_navigation_shell.dart,NAVIGATION,,IMPLEMENTED
ACTION-NAV-TOOLS,navigationTools,lib/src/ui/navigation/main_navigation_shell.dart,NAVIGATION,,IMPLEMENTED
ACTION-NAV-RECORDS,navigationRecords,lib/src/ui/navigation/main_navigation_shell.dart,NAVIGATION,,IMPLEMENTED
ACTION-NAV-PROFILE,navigationProfile,lib/src/ui/navigation/main_navigation_shell.dart,NAVIGATION,,IMPLEMENTED
ACTION-TOOLS-ASTROLOGY,toolsAstrology,lib/src/ui/navigation/main_navigation_shell.dart,NAVIGATION,,IMPLEMENTED
ACTION-TOOLS-NUMEROLOGY,toolsNumerology,lib/src/ui/navigation/main_navigation_shell.dart,ROUTE,numerology.basic,IMPLEMENTED
ACTION-TOOLS-SPIRITUAL,toolsSpiritual,lib/src/ui/navigation/main_navigation_shell.dart,NAVIGATION,,IMPLEMENTED
ACTION-TOOLS-GROWTH,toolsGrowth,lib/src/ui/navigation/main_navigation_shell.dart,NAVIGATION,,IMPLEMENTED
ACTION-ASTROLOGY-WESTERN,astrologyWestern,lib/src/ui/navigation/main_navigation_shell.dart,ROUTE,western.natal.basic,IMPLEMENTED
ACTION-ASTROLOGY-VEDIC,astrologyVedic,lib/src/ui/navigation/main_navigation_shell.dart,ROUTE,vedic.basic,IMPLEMENTED
ACTION-ASTROLOGY-CHINESE,astrologyChinese,lib/src/ui/navigation/main_navigation_shell.dart,ROUTE,chinese.basic,IMPLEMENTED
ACTION-ASTROLOGY-BAZI,astrologyBazi,lib/src/ui/navigation/main_navigation_shell.dart,ROUTE,bazi.basic,IMPLEMENTED
ACTION-ASTROLOGY-PLANETARY-HOURS,astrologyPlanetaryHours,lib/src/ui/navigation/main_navigation_shell.dart,ROUTE,planetary_hours.basic,IMPLEMENTED
ACTION-RECORDS-PROFILES,recordsProfiles,lib/src/ui/navigation/main_navigation_shell.dart,ROUTE,records.profiles,IMPLEMENTED
ACTION-RECORDS-CLIENTS,recordsClients,lib/src/ui/navigation/main_navigation_shell.dart,ROUTE,professional.clients,IMPLEMENTED
ACTION-PROFILE-SETTINGS,profileSettings,lib/src/ui/navigation/main_navigation_shell.dart,NAVIGATION,,IMPLEMENTED
ACTION-SETTINGS-BACKUP,settingsBackup,lib/src/ui/navigation/main_navigation_shell.dart,NAVIGATION,,IMPLEMENTED
ACTION-BACKUP-EXPORT,backupExport,lib/src/ui/backup/backup_settings_page.dart,BACKUP,,IMPLEMENTED
ACTION-BACKUP-SHARE,backupShare,lib/src/ui/backup/backup_settings_page.dart,SHARE,,IMPLEMENTED
ACTION-BACKUP-IMPORT,backupImport,lib/src/ui/backup/backup_settings_page.dart,BACKUP,,IMPLEMENTED
ACTION-BACKUP-RESTORE-MERGE,backupRestoreMerge,lib/src/ui/backup/backup_settings_page.dart,BACKUP,,IMPLEMENTED
ACTION-BACKUP-RESTORE-REPLACE,backupRestoreReplace,lib/src/ui/backup/backup_settings_page.dart,BACKUP,,IMPLEMENTED
ACTION-SETTINGS-PDF,settingsPdf,lib/src/ui/navigation/main_navigation_shell.dart,NAVIGATION,,IMPLEMENTED
ACTION-PDF-PREVIEW,pdfPreview,lib/src/ui/pdf/pdf_reports_pages.dart,ROUTE,pdf.sample_preview,IMPLEMENTED
ACTION-PDF-BUILD,pdfBuild,lib/src/ui/pdf/pdf_reports_pages.dart,ROUTE,pdf.professional_export,IMPLEMENTED
ACTION-PDF-BUILDER-PREVIEW,pdfPreflight,lib/src/ui/pdf/pdf_reports_pages.dart,PREVIEW,pdf.professional_export,IMPLEMENTED
ACTION-PDF-BUILDER-CREATE,pdfCreate,lib/src/ui/pdf/pdf_reports_pages.dart,PDF,pdf.professional_export,IMPLEMENTED
ACTION-PDF-BUILDER-SHARE,pdfShare,lib/src/ui/pdf/pdf_reports_pages.dart,SHARE,pdf.professional_export,IMPLEMENTED
