date,locale,title,teaser,full_text,theme_tag
"2027-04-01","tr","Aya Küçük Bir Sadeleştirmeyle Başla","Yeni bir ay, fazlalıkları azaltmak için iyi bir eşik olabilir.","Bugün düzenli yaptığın bir işte tek bir gereksiz adımı çıkar. Süreci büyütmeden önce gerçekten işe yarayan kısmı koru.","simplicity"
"2027-04-02","tr","Bekleyen Bir Karara Son Tarih Koy","Süresiz bekleyen kararlar zihinsel alan tüketebilir.","Uzun süredir ertelediğin bir seçim için makul bir karar tarihi belirle. O tarihe kadar hangi bilgiyi toplayacağını da yaz.","decision_making"
"2027-04-03","tr","Bir Sabah İşini Akşama Bırakma","Bazı görevler gün ilerledikçe olduğundan daha ağır hissedilebilir.","Bugün kısa ama önemli bir işi günün ilk uygun saatinde tamamla. Akşam enerjisine gereksiz bir yük taşımamaya çalış.","energy_management"
"2027-04-04","tr","Bir İhtiyacı İstekten Ayır","Alışveriş kararı verirken ihtiyaç ile anlık isteği ayırmak bütçeyi netleştirir.","Bugün satın almayı düşündüğün bir şey için iki sütun aç: hangi ihtiyacı çözüyor ve neden şimdi istiyorsun. Cevapları ayrı değerlendir.","financial_awareness"
"2027-04-05","tr","Bir İşi Bitirme Ölçütünü Yaz","Bir görevin ne zaman tamamlandığı belli değilse çalışma gereksiz uzayabilir.","Bugün başlayacağın önemli bir iş için bitti sayılacağı koşulu tek cümlede tanımla. Ayrıntıları bu sınırın içinde tut.","completion"
"2027-04-06","tr","Yanıt Süresini Bilinçli Seç","Her mesaja aynı hızda cevap vermek gerekmez.","Bugün gelen iletişimleri acil, bugün gerekli ve bekleyebilir diye ayır. Tepki hızını bildirimin sesine değil gerçek önceliğe göre seç.","communication"
"2027-04-07","tr","Bir Çekmeceyi Değil Bir Kategoriyi Düzenle","Düzen, eşyanın nerede olduğundan çok nasıl gruplandığıyla kalıcı olabilir.","Bugün küçük bir kategori seç: kablolar, belgeler, ilaçlar ya da anahtarlar gibi. Aynı türde olanları tek mantıklı yerde topla.","environment"
"2027-04-08","tr","Kendi Tahminini Sonuçla Karşılaştır","Tahminleri kaydetmek karar verme becerisindeki yanılgıları görünür kılar.","Bugün sonucu daha sonra belli olacak bir konu için kısa bir tahmin yaz. Sonuç geldiğinde ne kadar yaklaştığını kontrol etmek üzere notu sakla.","learning"
"2027-04-09","tr","Bir Görüşmede Not Alan Taraf Ol","Hafızaya güvenmek küçük ama önemli ayrıntıları kaybettirebilir.","Bugünkü önemli bir konuşmada üç başlığı not et: karar, sorumlu kişi ve sonraki tarih. Görüşme bitince eksik kalan noktayı hemen tamamla.","record_keeping"
"2027-04-10","tr","Tek Bir Şifre Alışkanlığını Güçlendir","Küçük güvenlik iyileştirmeleri uzun vadede büyük kayıpları önleyebilir.","Bugün önemli bir hesabında tekrar kullanılan ya da zayıf bir parolayı değiştir. Mümkünse güvenilir parola yöneticisi ve iki aşamalı doğrulama kullan.","digital_safety"
"2027-04-11","tr","Bir Görevi Parçalarken Sonucu Unutma","Çok fazla alt adım bazen asıl hedefi görünmez hale getirir.","Bugün büyük bir işi parçalara bölerken her parçanın hangi sonuca hizmet ettiğini yanına yaz. İşe yaramayan alt adımı listeden çıkar.","planning"
"2027-04-12","tr","Bir Aboneliği Kullanım Verisiyle Değerlendir","Hatırlanmayan abonelikler fark edilmeden bütçede kalabilir.","Son otuz günde ne kadar kullandığını bilmediğin bir aboneliği kontrol et. Kullanım gerçek değerini karşılamıyorsa yenilemeyi otomatik bırakma.","financial_awareness"
"2027-04-13","tr","Bir Rica İçin Net Bir Zaman Ver","Belirsiz istekler karşı tarafın plan yapmasını zorlaştırabilir.","Bugün birinden yardım isterken neye ihtiyacın olduğunu ve ne zamana kadar gerektiğini açık söyle. Acil değilse bunu da belirt.","communication"
"2027-04-14","tr","Dinlenme Alanını İş Alanından Ayır","Aynı ortamın sürekli iş sinyali vermesi dinlenmeyi zorlaştırabilir.","Bugün mümkünse çalışma araçlarını dinlenme alanından kaldır veya görünmez hale getir. Mekâna küçük bir kapanış işareti ver.","recovery"
"2027-04-15","tr","Ay Ortasında Harcamayı Kontrol Et","Ayın ortasında yapılan kısa kontrol, ay sonunda sürpriz yaşamayı azaltabilir.","Nisanın ilk yarısındaki temel harcamalara bak. Beklenenden hızlı giden tek kategori varsa kalan günler için küçük bir sınır belirle.","midmonth_review"
"2027-04-16","tr","Bir Kaynağın Tarihine Bak","Doğru bilgi bile zaman geçtiğinde güncelliğini yitirebilir.","Bugün kullandığın önemli bir bilgi kaynağında yayın veya güncelleme tarihini kontrol et. Eski bilgiyle yeni karar vermediğinden emin ol.","information_quality"
"2027-04-17","tr","Bir İşi Devretmeden Bağlamı Yaz","Yalnız görev adı, işi devralan kişi için yeterli olmayabilir.","Bugün bir işi başkasına aktaracaksan amaç, mevcut durum ve beklenen çıktı için üç kısa not bırak. Gereksiz geçmişi değil gerekli bağlamı ver.","collaboration"
"2027-04-18","tr","Bir Beklemeyi Küçük İşe Dönüştür","Kısa bekleme aralıkları plansız kaldığında kolayca dağılabilir.","Bugün on dakikalık bir bekleme anında yapılabilecek tek bir düşük dikkat işi belirle: dosya adlandırmak, kısa not yazmak veya takvimi kontrol etmek gibi.","time_management"
"2027-04-19","tr","Bir Hatanın Tekrar Yolunu Kapat","Hatanın nedenini bilmek, aynı koşulu değiştirmedikçe yeterli olmayabilir.","Bugün yakın zamanda yaptığın küçük bir hatayı seç ve tekrarını zorlaştıracak bir sistem değişikliği yap: kontrol listesi, otomatik hatırlatma veya farklı saklama yeri gibi.","systems"
"2027-04-20","tr","Bir Bahar İşini Takvime Sabitle","Mevsimsel işler bir ara denildiğinde kolayca ertelenebilir.","Bugün bakım, temizlik, belge yenileme veya kontrol gerektiren tek bir bahar işini tarih ve saatle takvimine koy.","seasonal_reset"
"2027-04-21","tr","Bir İtiraza Savunmayla Başlama","Eleştiri duyulduğunda ilk tepki açıklama yapmak olabilir.","Bugün biri bir soruna dikkat çekerse önce duyduğunu kendi cümlenle özetle. Açıklama yapmadan önce doğru anlayıp anlamadığını doğrula.","relationships"
"2027-04-22","tr","Bir Dosyayı Silmeden Önce Sahibini Kontrol Et","Ortak dosyalarda küçük bir temizlik başkasının işini etkileyebilir.","Bugün paylaşılan bir klasörde düzenleme yapacaksan dosyanın sahibi, son kullanım tarihi ve yedek durumu hakkında kısa bir kontrol yap.","data_safety"
