screen_id,state_id,reference_version,reference_path,sha256,approval_status,source,reason
SCR-TODAY-001,FREE,v1,,,PENDING,USER_APPROVAL_REQUIRED,Free ana günlük görünüm
SCR-TODAY-001,PRO,v1,,,PENDING,USER_APPROVAL_REQUIRED,PRO ana günlük görünüm
SCR-TODAY-001,OFFLINE,v1,,,PENDING,USER_APPROVAL_REQUIRED,Offline günlük görünüm
SCR-TODAY-MESSAGE-001,FREE_LOCKED,v1,,,PENDING,USER_APPROVAL_REQUIRED,Free kilitli Günün Mesajı
SCR-TODAY-MESSAGE-001,TEMP_UNLOCKED,v1,,,PENDING,USER_APPROVAL_REQUIRED,Reklamla geçici açılmış Günün Mesajı
SCR-TODAY-MESSAGE-001,PRO,v1,,,PENDING,USER_APPROVAL_REQUIRED,PRO Günün Mesajı
SCR-TODAY-YEAR-001,FREE_LOCKED,v1,,,PENDING,USER_APPROVAL_REQUIRED,Free yıllık görünüm kilidi
SCR-TODAY-YEAR-001,PRO,v1,,,PENDING,USER_APPROVAL_REQUIRED,PRO yıllık görünüm
SCR-WESTERN-INPUT-001,UNKNOWN_BIRTH_TIME,v1,,,PENDING,USER_APPROVAL_REQUIRED,Doğum saati bilinmiyor form state
SCR-WESTERN-INPUT-001,VALIDATION_ERROR,v1,,,PENDING,USER_APPROVAL_REQUIRED,Geçersiz veya eksik doğum verisi
SCR-WESTERN-CHART-001,PARTIAL_UNKNOWN_TIME,v1,,,PENDING,USER_APPROVAL_REQUIRED,Saat bilinmediğinde sahte yükselen/ev göstermeyen kısmi sonuç
SCR-WESTERN-CHART-001,PRO,v1,,,PENDING,USER_APPROVAL_REQUIRED,Profesyonel Batı harita görünümü
SCR-VEDIC-INPUT-001,UNKNOWN_BIRTH_TIME,v1,,,PENDING,USER_APPROVAL_REQUIRED,Doğum saati bilinmiyor Vedik form state
SCR-VEDIC-INPUT-001,VALIDATION_ERROR,v1,,,PENDING,USER_APPROVAL_REQUIRED,Geçersiz veya eksik Vedik giriş
SCR-VEDIC-D1-001,PARTIAL_UNKNOWN_TIME,v1,,,PENDING,USER_APPROVAL_REQUIRED,Saat bilinmediğinde yalnız güvenli Vedik sonuçlar
SCR-VEDIC-D1-001,PRO,v1,,,PENDING,USER_APPROVAL_REQUIRED,Profesyonel Vedik D1 görünümü
SCR-PYTHAGOREAN-001,PRO,v1,,,PENDING,USER_APPROVAL_REQUIRED,PRO numeroloji detay görünümü
SCR-PLANETARY-HOURS-001,OFFLINE,v1,,,PENDING,USER_APPROVAL_REQUIRED,Offline gezegen saatleri
SCR-PLANETARY-HOURS-001,POLAR_UNAVAILABLE,v1,,,PENDING,USER_APPROVAL_REQUIRED,Güneş doğuş/batışının olmadığı durumda güvenli unavailable state
SCR-CLIENTS-001,EMPTY,v1,,,PENDING,USER_APPROVAL_REQUIRED,Henüz danışan yok state
SCR-CLIENTS-001,PRO,v1,,,PENDING,USER_APPROVAL_REQUIRED,Profesyonel danışan çalışma alanı
SCR-PDF-PREVIEW-001,ERROR,v1,,,PENDING,USER_APPROVAL_REQUIRED,PDF üretim/önizleme güvenli hata state
SCR-PDF-PREVIEW-001,PRO,v1,,,PENDING,USER_APPROVAL_REQUIRED,PRO PDF önizleme
SCR-SETTINGS-001,FREE,v1,,,PENDING,USER_APPROVAL_REQUIRED,Free ayarlar
SCR-SETTINGS-001,PRO,v1,,,PENDING,USER_APPROVAL_REQUIRED,PRO ayarlar
SCR-PREMIUM-001,FREE,v1,,,PENDING,USER_APPROVAL_REQUIRED,Premium satın alma öncesi
SCR-PREMIUM-001,PRO,v1,,,PENDING,USER_APPROVAL_REQUIRED,Satın alma sonrası PRO state
SCR-BACKUP-001,EMPTY,v1,,,PENDING,USER_APPROVAL_REQUIRED,Yedek bulunmayan state
SCR-BACKUP-001,ERROR,v1,,,PENDING,USER_APPROVAL_REQUIRED,Backup/export güvenli hata state
SCR-BACKUP-PREVIEW-001,VALIDATION_ERROR,v1,,,PENDING,USER_APPROVAL_REQUIRED,Bozuk veya uyumsuz backup doğrulama state
SCR-STATE-OFFLINE-001,DEFAULT,v1,,,PENDING,USER_APPROVAL_REQUIRED,Genel offline bilgi state
SCR-STATE-ERROR-001,DEFAULT,v1,,,PENDING,USER_APPROVAL_REQUIRED,Genel güvenli hata state
SCR-STATE-EMPTY-001,DEFAULT,v1,,,PENDING,USER_APPROVAL_REQUIRED,Genel empty state
