date,locale,title,teaser,full_text,theme_tag
2036-06-01,tr,Bugünün tek cümlesini seç,Bugünün tek cümlesini seç: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,"Güne başlamadan önce bugün neyin gerçekten önemli olduğunu tek cümlede yaz. Gün içinde seçenekler çoğaldığında bu cümleye dönmek, dikkatini gereksiz ayrıntılardan ayırmana yardım eder.",grounding_clarity
2036-06-02,tr,Erişilebilirlik saatini belirle,Erişilebilirlik saatini belirle: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,"Bugün mesajlara veya taleplere cevap vereceğin bir zaman aralığı seç. Her an ulaşılabilir olmak yerine sınırı önceden bilmek, dikkati ve özsaygıyı birlikte korur.",boundaries_selfworth
2036-06-03,tr,On dakikalık başlangıç yap,On dakikalık başlangıç yap: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Ertelediğin işe yalnız on dakika ayırmayı taahhüt et. Devam edip etmeyeceğine sonra karar vermek, başlamayı zihinsel olarak daha ucuz hale getirir.,focus_action
2036-06-04,tr,Varsayımı soruya çevir,Varsayımı soruya çevir: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Birinin niyetini bildiğini düşündüğünde hüküm vermek yerine kısa bir soru sor. Açıklık istemek, yanlış bir hikâyeyi büyütmekten daha az enerji harcatır.,communication
2036-06-05,tr,Yakınlığın dengesini kontrol et,Yakınlığın dengesini kontrol et: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,"Bugün bir ilişkide yalnız veren ya da yalnız bekleyen tarafta olup olmadığını fark et. Sağlıklı yakınlık, karşılıklılığın zaman içinde hareket edebilmesine ihtiyaç duyar.",relationship_awareness
2036-06-06,tr,Hatanı veri olarak kullan,Hatanı veri olarak kullan: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Bugün yaptığın bir hatayı karakterin hakkında hükme çevirmeden incele. Ne olduğunu, neye ihtiyaç duyduğunu ve bir sonraki sefer neyi değiştireceğini ayır.,self_compassion
2036-06-07,tr,Minimum sürümü koru,Minimum sürümü koru: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Bugünkü alışkanlığının en küçük geçerli sürümünü tanımla ve enerjin düşük olsa bile onu yap. Süreklilik, her gün maksimum performanstan daha dayanıklıdır.,discipline_consistency
2036-06-08,tr,Eski bir yükü listeden sil,Eski bir yükü listeden sil: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Artık anlamını yitirmiş bir görevi yapılacaklar listesinden bilinçli olarak çıkar. Her vazgeçiş eksiklik değildir; bazıları kapasiteyi geri kazandırır.,letting_go
2036-06-09,tr,Küçük riski bugün al,Küçük riski bugün al: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Sonucu geri döndürülebilir olan küçük bir konuda yeni bir seçenek dene. Kontrollü deneyler, değişim korkusunu soyut düşünceden gerçek veriye taşır.,courage_change
2036-06-10,tr,Ekransız bir ara ver,Ekransız bir ara ver: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Bugün kısa bir molayı başka bir ekrana geçmeden geçir. Gözlerini ve dikkatini gerçekten dinlendiren ara, yalnız görev değiştirmekten daha toparlayıcı olabilir.,rest_recovery
2036-06-11,tr,Bugünkü seçimi değere bağla,Bugünkü seçimi değere bağla: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Yapman gereken bir işi neden önemsediğin bir değerle ilişkilendir. Anlam görünür olduğunda disiplin yalnız zorunluluk hissine dayanmaz.,meaning_direction
2036-06-12,tr,Sonucu kontrol etmeyi seyrekleştir,Sonucu kontrol etmeyi seyrekleştir: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Hazırlığını yaptıktan sonra sonucu sürekli kontrol etmek için kendine belirli bir saat koy. Bekleme alanını korumak, belirsizliği daha taşınabilir hale getirir.,trust_perspective
2036-06-13,tr,Kötü taslağa izin ver,Kötü taslağa izin ver: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Yeni bir fikir için ilk sürümün kötü olmasına bilinçli olarak izin ver. Düzenlenebilir bir taslak, zihinde kusursuz kalmaya çalışan fikirden daha değerlidir.,creativity_expression
2036-06-14,tr,Cevabı bir tur geciktir,Cevabı bir tur geciktir: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Acil olmayan önemli bir mesaja hemen yanıt vermek yerine kısa bir süre bekle. İlk tepki yatıştığında daha doğru ton ve öncelik seçebilirsin.,patience_timing
2036-06-15,tr,Günün dersini tek satıra indir,Günün dersini tek satıra indir: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Akşam bugün öğrendiğin en işe yarar şeyi tek cümleyle yaz. Kısa özet, deneyimin zihinde daha kolay yerleşmesini sağlar.,integration_reflection
2036-06-16,tr,Görsel gürültüyü azalt,Görsel gürültüyü azalt: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Çalıştığın yüzeyden bugün kullanmayacağın üç şeyi kaldır. Küçük bir fiziksel sadeleşme, zihnin hangi işe döneceğini daha kolay anlamasını sağlayabilir.,grounding_clarity
2036-06-17,tr,Küçük bir isteği geri çevir,Küçük bir isteği geri çevir: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Gerçekten istemediğin düşük riskli bir talebe nazikçe hayır de. Sınır koyma becerisi, yalnız büyük çatışmalarda değil küçük günlük seçimlerde güçlenir.,boundaries_selfworth
2036-06-18,tr,Bitirme ölçütünü yaz,Bitirme ölçütünü yaz: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Bir göreve başlamadan önce bugün için neyin yeterince tamam sayılacağını belirle. Belirsiz kalite beklentileri uzadıkça iş de gereksiz büyüyebilir.,focus_action
2036-06-19,tr,Mesajın amacını başa koy,Mesajın amacını başa koy: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Bir yazışmada ne istediğini ilk iki cümlede belirt. Karşı tarafın niyeti çözmeye çalışması gerekmediğinde iletişim daha sakin ve verimli ilerler.,communication
2036-06-20,tr,Küçük bir takdir söyle,Küçük bir takdir söyle: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Değer verdiğin bir kişiye genel bir övgü yerine bugün fark ettiğin somut bir davranışı söyle. Belirli takdir, ilişkinin görülme hissini güçlendirir.,relationship_awareness
2036-06-21,tr,Yetişemediğini dürüstçe kabul et,Yetişemediğini dürüstçe kabul et: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Kapasiteni aşan bir planı sürüklemek yerine bugün neyin kalacağını seç. Sınırını görmek başarısızlık değil, gerçekçi yönetimin bir parçasıdır.,self_compassion
2036-06-22,tr,Başlangıç saatini sabitle,Başlangıç saatini sabitle: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Tek bir rutinin yaklaşık başlangıç saatini birkaç gün boyunca koru. Zihin aynı işareti tekrar gördükçe başlama kararına daha az enerji harcar.,discipline_consistency
2036-06-23,tr,Değişmeyeni zorlamayı bırak,Değişmeyeni zorlamayı bırak: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Bugün kontrolünde olmayan bir sonucu tekrar tekrar düşünmek yerine etkileyebileceğin tek adımı seç. Enerjiyi etki alanına döndürmek daha işlevseldir.,letting_go
2036-06-24,tr,Zor konuşmaya giriş cümlesi yaz,Zor konuşmaya giriş cümlesi yaz: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Ertelediğin bir konuşmanın yalnız ilk cümlesini hazırla. Bütün diyaloğu kontrol edemezsin ama başlangıcını açık ve saygılı kurabilirsin.,courage_change
2036-06-25,tr,Uyku öncesi kapanış yap,Uyku öncesi kapanış yap: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Yatmadan önce yarına bırakacağın üç şeyi yaz ve işi zihninden kağıda taşı. Bu kapanış, gece boyunca yapılacakları tekrar etme ihtiyacını azaltabilir.,rest_recovery
2036-06-26,tr,Bir yön sorusu yaz,Bir yön sorusu yaz: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Kendine önümüzdeki ay daha çok neye yer vermek istediğini sor. Cevap hemen gelmese bile doğru soru, seçenekleri ayıklamaya başlayabilir.,meaning_direction
2036-06-27,tr,İlk yorumu kesin hüküm sayma,İlk yorumu kesin hüküm sayma: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Rahatsız edici bir olay olduğunda aklına gelen ilk açıklamanın tek olasılık olmadığını hatırla. Alternatif iki açıklama yazmak perspektifi genişletebilir.,trust_perspective
2036-06-28,tr,Beş farklı cevap üret,Beş farklı cevap üret: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Bir probleme ilk çözümde durma; uygulanabilir olup olmadığına bakmadan beş seçenek yaz. Çeşitlilik, otomatik düşünce kalıbını kırabilir.,creativity_expression
2036-06-29,tr,Olgunlaşan işi zorlamadan bırak,Olgunlaşan işi zorlamadan bırak: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Üzerinde çalıştığın bir fikir tıkandıysa bir süre başka işe geç. Bazı problemler sürekli baskıyla değil, araya mesafe girdiğinde açılır.,patience_timing
2036-06-30,tr,Tekrarlanan anı fark et,Tekrarlanan anı fark et: bugün bunu küçük ve uygulanabilir bir adımla görünür hale getir.,Bu hafta birkaç kez benzer şekilde zorlandığın bir durumu seç. Tek olaydan çok tekrar eden desen, değiştirebileceğin noktayı gösterebilir.,integration_reflection
