"date","locale","title","teaser","full_text","theme_tag"
"2028-06-01","en","Start June With a Boundary","What you refuse to add can matter as much as what you plan to do.","Choose three priorities for June and run new requests through a capacity check before accepting them by default.","monthly_planning"
"2028-06-02","en","Define the Real Start Condition","A task can appear started on a calendar while key inputs are still missing.","For one important task, write the information, approval, or resource that must exist before work can truly begin.","workflow"
"2028-06-03","en","Verify One Fact With a Second Source","A single source can be fragile when information changes over time.","Take one fact that matters to a decision today and check it against an independent second source. If they disagree, resolve why before using it.","information_quality"
"2028-06-04","en","Give a Meeting One Required Decision","Not every meeting needs to carry many topics.","Before a meeting today, define the one decision that must exist by the end and keep the conversation anchored to it.","meeting_quality"
"2028-06-05","en","Notice the Opportunity Cost of a Purchase","Money assigned to one option cannot be used for another at the same time.","For one planned purchase, list two realistic alternatives that the same budget could fund and compare them before deciding.","financial_awareness"
"2028-06-06","en","Measure Where a Process Waits","Delay often comes from idle time between steps rather than the work itself.","Separate active work time from waiting time in one repeated process and identify the longest wait worth reducing.","process_improvement"
"2028-06-07","en","Strengthen the Account, Not Just the Password","Account security depends on more than password strength.","Review two-factor authentication, recovery methods, and active sessions for one important account today.","security"
"2028-06-08","en","Write the Worst Reasonable Outcome","Specific risk is easier to manage than vague fear.","For one decision, write the worst outcome that is still reasonably plausible and choose one practical safeguard against it.","risk_management"
"2028-06-09","en","Attach an Owner and Date to One Task","Unowned work can disappear in plain sight.","Choose one open task and assign one accountable owner plus a clear date instead of leaving responsibility spread across several people.","accountability"
"2028-06-10","en","Actually Open a Backup","A backup file existing is not proof that recovery will work.","Open one important backup and verify a random item inside it. If it is incomplete or unreadable, create a fresh backup.","data_safety"
"2028-06-11","en","Express One Estimate as a Range","A single number can hide uncertainty.","When estimating time or cost today, include a reasonable lower and upper bound and note the assumption that moves the range most.","planning"
"2028-06-12","en","Name the Final Check Before Delivery","Quality becomes accidental when the last check is undefined.","For one task you will finish today, write the final check you will perform before delivery and actually perform it.","quality"
"2028-06-13","en","Move the Action to the First Sentence","Long explanations can hide what you need from the reader.","In one important message today, state the requested action or decision in the first sentence.","communication"
"2028-06-14","en","Record a Real Exception to a Rule","Invisible exceptions force the same debate to happen repeatedly.","When you find a legitimate exception today, record why it exists and where its boundary ends instead of turning it into a new general rule.","process_governance"
"2028-06-15","en","Reduce Open Work at Midmonth","Closing unfinished work creates capacity just as surely as adding resources.","List the work still open from the first half of June and close at least one item fully before starting another large commitment.","midmonth_review"
"2028-06-16","en","Fix the Definition of One Metric","The same metric name can hide different calculation rules.","Write the exact formula or counting rule for one important metric and confirm everyone using it means the same thing.","measurement"
"2028-06-17","en","Narrow One Permission to What Is Needed","Overly broad access creates avoidable risk.","Review access to one file or system and reduce it if the person has more permission than the work actually requires.","security"
"2028-06-18","en","Put an Expectation in Writing","Spoken expectations are easy to remember differently.","For one important handoff or delivery, record the scope, date, and owner in a short written note.","communication"
"2028-06-19","en","Separate the Repeatable Steps of a Task","Relying on memory every time increases error risk.","Break one repeated task into three to seven essential steps and turn them into a short checklist.","workflow"
"2028-06-20","en","Choose a Result Indicator for a Decision","A decision should be reviewable after enough time has passed.","For one important decision today, define one indicator that will show how it worked and set a date to review it.","decision_review"
"2028-06-21","en","Check the Cancellation Date Before Renewal","Automatic renewals can create costs long after usage has changed.","Review the renewal and cancellation date for one subscription. If usage is low, do not let automatic renewal become the default decision.","financial_awareness"
"2028-06-22","en","Record the Freshness Date of a Source","Correct information can become stale.","Note the last-updated date of one technical or operational source you rely on and set a date to check it again.","information_quality"
"2028-06-23","en","Find the First Sign of a Recent Error","Most failures show a small signal before they become obvious.","Think of a recent mistake and identify the earliest visible sign. Turn that signal into an earlier check if possible.","quality"
"2028-06-24","en","Ask the Receiver to Explain the Handoff","One-way explanations can hide misunderstandings.","During a handoff, ask the receiver to summarize the current state in their own words and correct missing or inaccurate details immediately.","continuity"
"2028-06-25","en","Define the Human Boundary of an Automation","Automation should not silently take over every judgment.","For one automated or planned process, state the point where human review or approval is still required.","automation"
"2028-06-26","en","Review the Week by Outputs","Busyness and progress are not the same measure.","Assess this week by what was delivered, closed, or verified rather than by hours spent or messages sent.","weekly_review"
"2028-06-27","en","Create a Rollback Plan for One Change","Safe change includes a way back.","Before applying an important change today, write how you would return to the previous state and prepare the backup or reference needed to do it.","change_management"
"2028-06-28","en","Match a Financial Record to Its Evidence","A number is easier to verify when its source document stays linked to it.","Match one payment or expense record with its receipt, invoice, statement, or agreement today.","financial_recordkeeping"
"2028-06-29","en","List the Risks That Will Cross Into Next Month","Open risks move forward even when completed tasks do not.","Write three risks that will remain open after June and give each one an owner, next step, and review date.","risk_review"
"2028-06-30","en","Close June With One Repeatable Improvement","A lesson becomes useful when it changes a repeatable system.","Choose one method that helped most in June and turn it into a rule, template, or checklist you will keep using in July.","monthly_review"
